"","lat","lon","crop","average_predicted_yield","uncertainty","start_sowing_date","end_sowing_date","start_harvest_date","end_harvest_date","season"
"1","-16.74996735","12.41668715","MILLET","0.606517705884331","18","01/05","15/07","01/09","15/11","90-120 days"
"2","-16.58330065","12.41668715","MILLET","0.65582657511213","18","01/05","15/07","01/09","15/11","90-120 days"
"3","-16.41663395","12.41668715","MILLET","0.763499254015483","18","01/05","15/07","01/09","15/11","90-120 days"
"4","-16.24996725","12.41668715","MILLET","0.664496584684324","18","01/05","15/07","01/09","15/11","90-120 days"
"5","-16.08330055","12.41668715","MILLET","0.576759878794059","18","01/05","15/07","01/09","15/11","90-120 days"
"6","-15.91663385","12.41668715","MILLET","0.633428745064519","18","01/05","15/07","01/09","15/11","90-120 days"
"7","-15.74996715","12.41668715","MILLET","0.639902262072938","18","01/05","15/07","01/09","15/11","90-120 days"
"8","-15.58330045","12.41668715","MILLET","0.628910051972738","18","01/05","15/07","01/09","15/11","90-120 days"
"9","-12.74996655","12.41668715","MILLET","0.638264834445688","18","01/06","15/07","01/09","15/11","90-120 days"
"10","-12.58329985","12.41668715","MILLET","0.612787825610426","18","01/06","15/07","01/09","15/11","90-120 days"
"11","-12.41663315","12.41668715","MILLET","0.693177892053665","18","01/06","15/07","01/09","15/11","90-120 days"
"12","-12.24996645","12.41668715","MILLET","0.58782525343287","18","01/06","15/07","01/09","15/11","90-120 days"
"13","-12.0832997500000","12.41668715","MILLET","0.615971408235932","18","01/06","15/07","01/09","15/11","90-120 days"
"14","-11.916633050","12.41668715","MILLET","0.638649562262665","18","01/06","15/07","01/09","15/11","90-120 days"
"15","-11.74996635","12.41668715","MILLET","0.673081610794775","18","01/06","15/07","01/09","15/11","90-120 days"
"16","-11.58329965","12.41668715","MILLET","0.67622744410207","18","01/06","15/07","01/09","15/11","90-120 days"
"17","-11.4166329500000","12.41668715","MILLET","0.650325799983878","18","01/06","15/07","01/09","15/11","90-120 days"
"18","-16.74996735","12.58335385","MILLET","0.672035992484564","18","01/05","15/07","01/09","15/11","90-120 days"
"19","-16.58330065","12.58335385","MILLET","0.688589115727359","18","01/05","15/07","01/09","15/11","90-120 days"
"20","-16.41663395","12.58335385","MILLET","0.686563694453903","18","01/05","15/07","01/09","15/11","90-120 days"
"21","-16.24996725","12.58335385","MILLET","0.576615476217995","18","01/05","15/07","01/09","15/11","90-120 days"
"22","-16.08330055","12.58335385","MILLET","0.592528266278487","18","01/05","15/07","01/09","15/11","90-120 days"
"23","-15.91663385","12.58335385","MILLET","0.658897254775875","18","01/05","15/07","01/09","15/11","90-120 days"
"24","-15.74996715","12.58335385","MILLET","0.708148635538506","18","01/05","15/07","01/09","15/11","90-120 days"
"25","-15.58330045","12.58335385","MILLET","0.548170900996997","18","01/05","15/07","01/09","15/11","90-120 days"
"26","-15.41663375","12.58335385","MILLET","0.53342887212242","18","01/05","15/07","01/09","15/11","90-120 days"
"27","-15.24996705","12.58335385","MILLET","0.677625879220225","18","01/05","15/07","01/09","15/11","90-120 days"
"28","-13.08329995","12.58335385","MILLET","0.616404227436068","18","01/06","15/07","01/09","15/11","90-120 days"
"29","-12.91663325","12.58335385","MILLET","0.619828774864595","18","01/06","15/07","01/09","15/11","90-120 days"
"30","-12.74996655","12.58335385","MILLET","0.632085235060622","18","01/06","15/07","01/09","15/11","90-120 days"
"31","-12.58329985","12.58335385","MILLET","0.631871225444777","18","01/06","15/07","01/09","15/11","90-120 days"
"32","-12.41663315","12.58335385","MILLET","0.576275084138652","18","01/06","15/07","01/09","15/11","90-120 days"
"33","-12.24996645","12.58335385","MILLET","0.697543660419418","18","01/06","15/07","01/09","15/11","90-120 days"
"34","-12.0832997500000","12.58335385","MILLET","0.644359751305497","18","01/06","15/07","01/09","15/11","90-120 days"
"35","-11.916633050","12.58335385","MILLET","0.634355499434857","18","01/06","15/07","01/09","15/11","90-120 days"
"36","-11.74996635","12.58335385","MILLET","0.67620420471821","18","01/06","15/07","01/09","15/11","90-120 days"
"37","-11.58329965","12.58335385","MILLET","0.595320850180885","18","01/06","15/07","01/09","15/11","90-120 days"
"38","-11.4166329500000","12.58335385","MILLET","0.577722402627913","18","01/06","15/07","01/09","15/11","90-120 days"
"39","-16.74996735","12.75002055","MILLET","0.612239924943216","18","01/05","15/07","01/09","15/11","90-120 days"
"40","-16.58330065","12.75002055","MILLET","0.620032675538201","18","01/05","15/07","01/09","15/11","90-120 days"
"41","-16.41663395","12.75002055","MILLET","0.66400562753006","18","01/05","15/07","01/09","15/11","90-120 days"
"42","-16.24996725","12.75002055","MILLET","0.697401902918216","18","01/05","15/07","01/09","15/11","90-120 days"
"43","-16.08330055","12.75002055","MILLET","0.59134897500752","18","01/05","15/07","01/09","15/11","90-120 days"
"44","-15.91663385","12.75002055","MILLET","0.671997517745749","18","01/05","15/07","01/09","15/11","90-120 days"
"45","-15.74996715","12.75002055","MILLET","0.633312085503737","18","01/05","15/07","01/09","15/11","90-120 days"
"46","-15.58330045","12.75002055","MILLET","0.548173396079012","18","01/05","15/07","01/09","15/11","90-120 days"
"47","-15.41663375","12.75002055","MILLET","0.659936203494703","18","01/05","15/07","01/09","15/11","90-120 days"
"48","-15.24996705","12.75002055","MILLET","0.594013563990248","18","01/05","15/07","01/09","15/11","90-120 days"
"49","-15.08330035","12.75002055","MILLET","0.65044571230482","18","01/05","15/07","01/09","15/11","90-120 days"
"50","-14.91663365","12.75002055","MILLET","0.693926547995016","18","01/05","15/07","01/09","15/11","90-120 days"
"51","-14.74996695","12.75002055","MILLET","0.685485615217606","18","01/05","15/07","01/09","15/11","90-120 days"
"52","-14.58330025","12.75002055","MILLET","0.680014819794632","18","01/05","15/07","01/09","15/11","90-120 days"
"53","-14.41663355","12.75002055","MILLET","0.655336247843118","18","01/05","15/07","01/09","15/11","90-120 days"
"54","-14.24996685","12.75002055","MILLET","0.58604058201307","18","01/05","15/07","01/09","15/11","90-120 days"
"55","-14.08330015","12.75002055","MILLET","0.697870690559676","18","01/05","15/07","01/09","15/11","90-120 days"
"56","-13.91663345","12.75002055","MILLET","0.640424872044905","18","01/05","15/07","01/09","15/11","90-120 days"
"57","-13.74996675","12.75002055","MILLET","0.624277149891786","18","01/05","15/07","01/09","15/11","90-120 days"
"58","-13.58330005","12.75002055","MILLET","0.627702129814346","18","01/05","15/07","01/09","15/11","90-120 days"
"59","-13.41663335","12.75002055","MILLET","0.686935018998447","18","01/06","15/07","01/09","15/11","90-120 days"
"60","-13.24996665","12.75002055","MILLET","0.626604327522411","18","01/06","15/07","01/09","15/11","90-120 days"
"61","-13.08329995","12.75002055","MILLET","0.560712981790118","18","01/06","15/07","01/09","15/11","90-120 days"
"62","-12.91663325","12.75002055","MILLET","0.65217821238256","18","01/06","15/07","01/09","15/11","90-120 days"
"63","-12.74996655","12.75002055","MILLET","0.641129297879301","18","01/06","15/07","01/09","15/11","90-120 days"
"64","-12.58329985","12.75002055","MILLET","0.715241169982718","18","01/06","15/07","01/09","15/11","90-120 days"
"65","-12.41663315","12.75002055","MILLET","0.68688754751027","18","01/06","15/07","01/09","15/11","90-120 days"
"66","-12.24996645","12.75002055","MILLET","0.572123453433992","18","01/06","15/07","01/09","15/11","90-120 days"
"67","-12.0832997500000","12.75002055","MILLET","0.67562521045976","18","01/06","15/07","01/09","15/11","90-120 days"
"68","-11.916633050","12.75002055","MILLET","0.596847321786383","18","01/06","15/07","01/09","15/11","90-120 days"
